Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y
729569,910492352,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,4.532,Invalid,Invalid,EyesNotFound,20,7,,
739563,910502346,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,4.629,Invalid,Invalid,EyesNotFound,20,7,,
749555,910512338,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,659,58,1022.4801,1580.4291,3795.145,0.23154,0.28533,0.93004,0.24397,0.46015,0.85366,33.56,-20.78,-34.72,-30.89,-18.36,-31.97,4.504,4.393,4.508,Valid,Valid,Unclassified,20,3,,
759547,910522330,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,644,80,1072.7319,1507.4572,3807.2817,0.27905,0.329,0.90216,0.22244,0.38563,0.89544,33.23,-21,-34,-30.61,-17.73,-32.69,4.51,4.629,4.508,Valid,Valid,Unclassified,20,3,,
769537,910532320,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,683,74,949.8925,1540.0037,3823.6072,0.23684,0.3391,0.91045,0.20763,0.39158,0.89641,33.35,-21.24,-33.79,-30.9,-17.96,-32.25,4.486,4.418,4.536,Valid,Valid,Saccade,70,4,,
779529,910542312,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,721,75,824.8476,1547.2964,3847.4153,0.22775,0.34782,0.90948,0.15818,0.38623,0.90874,33.13,-21.03,-33.75,-30.76,-17.62,-32.71,4.534,4.726,4.582,Valid,Valid,Saccade,70,4,,
789524,910552307,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,755,87,714.6938,1523.1635,3876.7212,0.18473,0.35556,0.91622,0.14997,0.3679,0.91769,33.2,-21.02,-33.87,-31.04,-17.58,-32.57,4.84,4.563,4.591,Valid,Valid,Saccade,70,4,,
799516,910562299,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,788,109,607.313,1464.953,3916.0024,0.17228,0.3431,0.92336,0.1121,0.35303,0.92887,32.92,-21,-33.66,-30.97,-17.48,-32.84,4.599,4.722,4.749,Valid,Valid,Saccade,70,4,,
809533,910572316,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,813,126,524.5293,1420.3165,3943.2395,0.13687,0.34866,0.9272,0.10886,0.32684,0.93879,32.99,-21.19,-33.58,-31.21,-17.24,-32.91,4.776,4.583,4.779,Valid,Valid,Saccade,70,4,,
819529,910582312,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,838,139,438.5388,1384.9697,3963.8835,0.13466,0.33217,0.93356,0.07075,0.32684,0.94243,32.87,-20.91,-33.76,-31.17,-17.4,-32.94,4.836,4.725,4.778,Valid,Valid,Saccade,70,4,,
829518,910592301,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,864,153,349.0241,1347.7927,3984.5876,0.09294,0.30769,0.94694,0.07061,0.33414,0.93988,32.87,-20.91,-33.87,-31.38,-17.17,-33,4.842,4.914,4.844,Valid,Valid,Saccade,70,4,,
839514,910602297,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,883,154,281.2674,1347.6171,3988.6064,0.0908,0.31035,0.94628,0.04095,0.33152,0.94256,32.79,-20.77,-33.92,-31.35,-17.42,-32.96,4.831,4.851,4.861,Valid,Valid,Unclassified,50,4,,
849501,910612284,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,904,151,208.1553,1358.8348,3987.4395,0.0542,0.30187,0.95181,0.04333,0.3455,0.93742,32.74,-20.87,-33.91,-31.55,-17.2,-33.01,4.846,4.996,4.872,Valid,Valid,Unclassified,50,4,,
859491,910622274,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,925,163,135.1679,1323.8649,4001.5161,0.0511,0.29877,0.95295,0.01216,0.33237,0.94307,32.59,-20.88,-33.72,-31.5,-17.49,-32.91,4.775,4.886,4.844,Valid,Valid,Unclassified,50,4,,
869487,910632270,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,941,176,77.8114,1283.1672,4015.4629,0.02208,0.28856,0.95721,0.01429,0.3236,0.94609,32.57,-20.95,-33.79,-31.68,-17.25,-32.97,4.802,4.939,4.83,Valid,Valid,Unclassified,50,4,,
879478,910642261,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,955,185,29.1296,1258.0376,4023.2,0.02867,0.28808,0.95718,-0.01518,0.31238,0.94984,32.51,-20.9,-33.7,-31.66,-17.46,-32.96,4.737,4.875,4.81,Valid,Valid,Unclassified,50,4,,
884159,910646942,,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),SyncPortOutHigh,,,,,,,,,,,,,,,,,,,,,,,,Unclassified,50,4,,
889469,910652252,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,963,208,-3.1249,1283.4064,4383.5449,0.00129,0.26636,0.96387,-0.00279,0.29924,0.95417,32.46,-20.97,-33.8,-31.78,-17.24,-32.98,4.72,4.882,4.798,Valid,Valid,Saccade,10,5,,
899460,910662243,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,964,236,-8.8942,963.9103,3600.7622,0.0107,0.2715,0.96238,-0.01563,0.25075,0.96792,32.43,-20.95,-33.69,-31.67,-17.59,-32.78,4.658,4.603,4.708,Valid,Valid,Unclassified,40,5,,
909451,910672234,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,975,248,-18.335,377.506,1465.7102,-0.01229,0.25392,0.96715,-0.01173,0.25759,0.96618,32.4,-21.04,-33.73,-31.83,-17.29,-32.89,4.682,4.734,4.695,Valid,Valid,Unclassified,40,5,,
919448,910682231,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,1007,243,-35.1469,229.8877,874.904,-0.00897,0.25603,0.96663,-0.0666,0.27291,0.95973,32.39,-20.99,-33.69,-31.59,-17.81,-32.47,4.643,4.65,4.677,Valid,Valid,Unclassified,40,5,,
929433,910692216,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,994,242,-34.0088,317.3255,1205.1405,-0.02447,0.25656,0.96622,-0.02896,0.26771,0.96306,32.36,-21.06,-33.74,-31.81,-17.38,-32.76,4.669,4.721,4.673,Valid,Valid,Unclassified,40,5,,
939428,910702211,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,973,220,-11.4879,338.7128,1200.0117,0.00025,0.27323,0.96195,-0.0187,0.28404,0.95863,32.4,-20.83,-33.86,-31.72,-17.48,-32.81,4.621,4.695,4.669,Valid,Valid,Saccade,30,6,,
949450,910712233,Eye Tracker,Neuro-asthetic,04-07-24,pilot002,Recording010,03/19/2024,03/19/2024,27:46.1,57:46.1,124878,Tobii I-VT (Attention),,,969,152,-5.5887,402.8277,1179.6073,-0.00087,0.31417,0.94937,-0.00826,0.34313,0.93925,32.39,-20.84,-33.87,-31.82,-17.68,-32.38,4.65,4.391,4.673,Valid,Valid,Saccade,30,6,,
